wmpid,face_url_2022,face_category_2022,face_2022,full_name
WMPID1299,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/johnboozmanupdated.jpg,Sen,yes,John Boozman
WMPID1302,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Kelly.png,Sen,yes,Mark Kelly
WMPID1305,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michael_Bennet.jpg,Sen,yes,Michael Bennet
WMPID1315,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard_Blumenthal.jpg,Sen,yes,Richard Blumenthal
WMPID1321,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marco_Rubio.jpg,Sen,yes,Marco Rubio
WMPID174,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Howard_Knepper.jpg,Sen,yes,Howard Knepper
WMPID1330,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Raphael_Warnock.jpg,Sen,yes,Raphael Warnock
WMPID1342,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chuck_Grassley.jpg,Sen,yes,Chuck Grassley
WMPID1352,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jerry_Moran.jpg,Sen,yes,Jerry Moran
WMPID1357,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rand_Paul.jpg,Sen,yes,Rand Paul
WMPID2244,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Charles_Booker1.jpeg,Sen,yes,Charles Booker
WMPID1370,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/XanJohn2.jpg,Sen,yes,Xan John
WMPID4757,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jonathan-Dine.PNG,Sen,yes,Jonathan Dine
WMPID1396,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ShannonBray.jpg,Sen,yes,Shannon Bray
WMPID1399,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Hoeven.jpg,Sen,yes,John Hoeven
WMPID1405,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DonBolduc.jpg,Sen,yes,Don Bolduc
WMPID1445,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Lee_113th_Congress.jpg,Sen,yes,Mike Lee
WMPID1450,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_Johnson.jpg,Sen,yes,Ron Johnson
WMPID4671,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kelly_Tshibaka.jpg,Sen,yes,Kelly Tshibaka
